Invoice Created Date,Year,Month,Quarter,QY,Commodity,Description,Supplier,Reporting Total,PO Ship-To City,Chart Of Accounts,Accounting Total Currency,Invoice #
6/30/2025,2025,6,Q2,Q2-2025,Professional Services,Blanket PO for 2025 Dickson Smart-Vue Pro Services through June 2025,DICKSON COMPANY_US_50051700,14450,Asheville,US_500-BAAN,USD,INV1222185
6/30/2025,2025,6,Q2,Q2-2025,Professional Services,Blanket PO for 2025 Dickson Smart-Vue Pro Cloud Services through June 2025,OCEASOFT SA_US_70712482,36217.5,Asheville,US_500-BAAN,USD,INVOC1019776
6/30/2025,2025,6,Q2,Q2-2025,MRO Services,White/Black Versaflo[TM] PAPR System w/ Faceshield,FASTENAL CO_US_323253,2422,Asheville,US_500-BAAN,USD,NCBUN88123
6/30/2025,2025,6,Q2,Q2-2025,MRO Services,Superior Mark® Floor Marking Tape,INSITE SOLUTIONS LLC_US_70649913,359.1,Asheville,US_500-BAAN,USD,0186935-IN
6/30/2025,2025,6,Q2,Q2-2025,MRO Services,Bulk Nitrogen Sitewide,AIRGAS USA LLC_US_69316438,2483.58,Asheville,US_500-BAAN,USD,9162459205
6/30/2025,2025,6,Q2,Q2-2025,Product Services,NITROGEN IND LIQ 180LT 22PSI,AIRGAS USA LLC_US_69316438,240,Asheville,US_500-BAAN,USD,9162466093
6/30/2025,2025,6,Q2,Q2-2025,Product Services,EPD-005119_Evaporator fan motor assembly qualification_Engineering Samples,PEERLESS OF AMERICA II INC_US_70580125,221.65,Asheville,US_500-BAAN,USD,014321
6/28/2025,2025,6,Q2,Q2-2025,Office Supplies,PERK ECO COMPOSTABLE PLASTIC C,STAPLES BUSINESS ADVANTAGE_US_246182,42.23,Asheville,US_500-BAAN,USD,6035704186
6/28/2025,2025,6,Q2,Q2-2025,Office Supplies,"STAPLES CARPET CHAIR MAT, 46",STAPLES BUSINESS ADVANTAGE_US_246182,46.85,Asheville,US_500-BAAN,USD,6035704157
6/28/2025,2025,6,Q2,Q2-2025,Office Supplies,"BOUTON OPTICAL SAFETY GLASSES,",STAPLES BUSINESS ADVANTAGE_US_246182,9.84,Asheville,US_500-BAAN,USD,6035704157
6/28/2025,2025,6,Q2,Q2-2025,Office Supplies,TRU RED 8  NON-STICK TITANIUM,STAPLES BUSINESS ADVANTAGE_US_246182,9.99,Asheville,US_500-BAAN,USD,6035704157
6/28/2025,2025,6,Q2,Q2-2025,Industrial Gases,BLNKT WLDG 3'X3' 30OZ FGL GLD ACRL COTNG,AIRGAS USA LLC_US_69316438,14.43,Asheville,US_500-BAAN,USD,9162483296
6/27/2025,2025,6,Q2,Q2-2025,Production Equipment and Supplies,"VEVOR Automatic Label Dispenser, Width 0.6-4.9 in, Length 0.1-5.9 in, Electric Label Stripper Separator Machine, with Speed Adjustable, Photoelectric Sensor, Clear LCD Display, Auto Counting 0-999999",AMAZON CAPITAL SERVICES INC_US_70345775,72.88,Asheville,US_500-BAAN,USD,143W-QWXN-KKJP
6/27/2025,2025,6,Q2,Q2-2025,Professional Services,Swedish Match Calibrations PO 642472,DICKSON COMPANY_US_50051700,1485.66,Asheville,US_500-BAAN,USD,INV1195922
6/27/2025,2025,6,Q2,Q2-2025,Professional Services,Swedish Match Calibrations PO 642472,DICKSON COMPANY_US_50051700,673.51,Asheville,US_500-BAAN,USD,INV1196007
6/27/2025,2025,6,Q2,Q2-2025,Software-as-a-Service,INSSWSUB0500,KLATU NETWORKS INC_US_69770335,17178,Asheville,US_500-BAAN,USD,8529
6/27/2025,2025,6,Q2,Q2-2025,Software-as-a-Service,INSSWSUB0050,KLATU NETWORKS INC_US_69770335,2331.3,Asheville,US_500-BAAN,USD,8529
6/27/2025,2025,6,Q2,Q2-2025,Software-as-a-Service,INSSWSUB0100,KLATU NETWORKS INC_US_69770335,4417.2,Asheville,US_500-BAAN,USD,8529
6/27/2025,2025,6,Q2,Q2-2025,Software-as-a-Service,INSSWSUB0500,KLATU NETWORKS INC_US_69770335,17178,Asheville,US_500-BAAN,USD,8540
6/27/2025,2025,6,Q2,Q2-2025,Other Consumables and Supplies,03120 Blanket Fasteners LAB 101300,ENDRIES INTERNATIONAL INC_US_70579175,16.46,Asheville,US_500-BAAN,USD,8753002-02
6/27/2025,2025,6,Q2,Q2-2025,Other Consumables and Supplies,03160 TTEMP/FOGGER Quarter Blanket Fasteners 102350,ENDRIES INTERNATIONAL INC_US_70579175,6.02,Asheville,US_500-BAAN,USD,8753003-01
6/27/2025,2025,6,Q2,Q2-2025,Other Consumables and Supplies,03110 Blanket REF Fasteners 102500,ENDRIES INTERNATIONAL INC_US_70579175,563.23,Asheville,US_500-BAAN,USD,8764888-00
6/27/2025,2025,6,Q2,Q2-2025,Other Consumables and Supplies,ULT Blanket Endries Fasteners Quarter 102000,ENDRIES INTERNATIONAL INC_US_70579175,1192.82,Asheville,US_500-BAAN,USD,8764889-00
6/27/2025,2025,6,Q2,Q2-2025,Other Consumables and Supplies,03120 Blanket Fasteners LAB 101300,ENDRIES INTERNATIONAL INC_US_70579175,38.54,Asheville,US_500-BAAN,USD,8764890-00
6/27/2025,2025,6,Q2,Q2-2025,Other Consumables and Supplies,03160 TTEMP/FOGGER Quarter Blanket Fasteners 102350,ENDRIES INTERNATIONAL INC_US_70579175,803.04,Asheville,US_500-BAAN,USD,8764891-00
6/27/2025,2025,6,Q2,Q2-2025,Other Consumables and Supplies,03148 PEM/WELD Blanket Quarter Fasteners101100,ENDRIES INTERNATIONAL INC_US_70579175,466.24,Asheville,US_500-BAAN,USD,8764892-00
6/27/2025,2025,6,Q2,Q2-2025,Other Consumables and Supplies,03148 PEM/WELD Blanket Quarter Fasteners101100,ENDRIES INTERNATIONAL INC_US_70579175,101.54,Asheville,US_500-BAAN,USD,8764893-00
6/27/2025,2025,6,Q2,Q2-2025,Other Consumables and Supplies,03110 Blanket REF Fasteners 102500,ENDRIES INTERNATIONAL INC_US_70579175,612.02,Asheville,US_500-BAAN,USD,8766820-00
6/27/2025,2025,6,Q2,Q2-2025,Other Consumables and Supplies,ULT Blanket Endries Fasteners Quarter 102000,ENDRIES INTERNATIONAL INC_US_70579175,83.8,Asheville,US_500-BAAN,USD,8766821-00
6/27/2025,2025,6,Q2,Q2-2025,Other Consumables and Supplies,03120 Blanket Fasteners LAB 101300,ENDRIES INTERNATIONAL INC_US_70579175,145.21,Asheville,US_500-BAAN,USD,8766822-00
6/27/2025,2025,6,Q2,Q2-2025,Other Consumables and Supplies,03148 PEM/WELD Blanket Quarter Fasteners101100,ENDRIES INTERNATIONAL INC_US_70579175,56.77,Asheville,US_500-BAAN,USD,8766824-00
6/27/2025,2025,6,Q2,Q2-2025,Other Consumables and Supplies,03160 TTEMP/FOGGER Quarter Blanket Fasteners 102350,ENDRIES INTERNATIONAL INC_US_70579175,202.6,Asheville,US_500-BAAN,USD,8766825-00
6/27/2025,2025,6,Q2,Q2-2025,Other Consumables and Supplies,03160 TTEMP/FOGGER Quarter Blanket Fasteners 102350,ENDRIES INTERNATIONAL INC_US_70579175,409.58,Asheville,US_500-BAAN,USD,8766826-00
6/27/2025,2025,6,Q2,Q2-2025,Other Consumables and Supplies,03160 TTEMP/FOGGER Quarter Blanket Fasteners 102350,ENDRIES INTERNATIONAL INC_US_70579175,227.54,Asheville,US_500-BAAN,USD,8766827-00
6/27/2025,2025,6,Q2,Q2-2025,Other Consumables and Supplies,03160 TTEMP/FOGGER Quarter Blanket Fasteners 102350,ENDRIES INTERNATIONAL INC_US_70579175,1421.19,Asheville,US_500-BAAN,USD,8766829-00
